 1.00000000e+05  7.52554995e-03 -7.88750025e-02 
 1.12201845e+05  5.98786603e-03 -7.04319166e-02 
 1.25892541e+05  4.76235317e-03 -6.28695402e-02 
 1.41253754e+05  3.78630313e-03 -5.61030884e-02 
 1.58489319e+05  3.00935849e-03 -5.00538676e-02 
 1.77827941e+05  2.39117119e-03 -4.46495044e-02 
 1.99526231e+05  1.89947081e-03 -3.98239006e-02 
 2.23872114e+05  1.50848393e-03 -3.55170117e-02 
 2.51188643e+05  1.19764924e-03 -3.16745200e-02 
 2.81838293e+05  9.50578101e-04 -2.82474477e-02 
 3.16227766e+05  7.54216956e-04 -2.51917463e-02 
 3.54813389e+05  5.98174487e-04 -2.24678811e-02 
 3.98107171e+05  4.74182302e-04 -2.00404280e-02 
 4.46683592e+05  3.75663527e-04 -1.78776895e-02 
 5.01187234e+05  2.97388191e-04 -1.59513353e-02 
 5.62341325e+05  2.35198260e-04 -1.42360709e-02 
 6.30957344e+05  1.85788457e-04 -1.27093335e-02 
 7.07945784e+05  1.46531652e-04 -1.13510173e-02 
 7.94328235e+05  1.15339851e-04 -1.01432247e-02 
 8.91250938e+05  9.05535511e-05 -9.07004436e-03 
 1.00000000e+06  7.08537093e-05 -8.11735516e-03 
 1.12201845e+06  5.51916917e-05 -7.27265384e-03 
 1.25892541e+06  4.27335237e-05 -6.52490823e-03 
 1.41253754e+06  3.28154847e-05 -5.86443612e-03 
 1.58489319e+06  2.49086807e-05 -5.28281323e-03 
 1.77827941e+06  1.85906755e-05 -4.77281655e-03 
 1.99526231e+06  1.35225978e-05 -4.32841511e-03 
 2.23872114e+06  9.43035320e-06 -3.94483139e-03 
 2.51188643e+06  6.08862476e-06 -3.61871766e-03 
 2.81838293e+06  3.30612863e-06 -3.34853785e-03 
 3.16227766e+06  9.09757072e-07 -3.13534831e-03 
 3.54813389e+06 -1.27723318e-06 -2.98442940e-03 
 3.98107171e+06 -3.47549283e-06 -2.90893605e-03 
 4.46683592e+06 -6.04805467e-06 -2.93904745e-03 
 5.01187234e+06 -9.81774482e-06 -3.14923477e-03 
 5.62341325e+06 -1.75319708e-05 -3.76558977e-03 
 6.30957344e+06 -4.71329053e-05 -5.88853116e-03 
 7.07945784e+06 -1.32207673e-02 -1.03400629e-01 
 7.94328235e+06 -9.43262576e-06  4.08137440e-03 
 8.91250938e+06  2.46892391e-06  1.57211716e-03 
 1.00000000e+07  2.77217906e-06  8.17072495e-04 
 1.12201845e+07  2.28024278e-06  4.77581297e-04 
 1.25892541e+07  1.79268102e-06  2.96967704e-04 
 1.41253754e+07  1.39814742e-06  1.91708761e-04 
 1.58489319e+07  1.09092851e-06  1.26838842e-04 
 1.77827941e+07  8.53302530e-07  8.53575094e-05 
 1.99526231e+07  6.69228081e-07  5.81452121e-05 
 2.23872114e+07  5.26128030e-07  3.99635244e-05 
 2.51188643e+07  4.14464552e-07  2.76510624e-05 
 2.81838293e+07  3.27039100e-07  1.92289263e-05 
 3.16227766e+07  2.58396690e-07  1.34238512e-05 
 3.54813389e+07  2.04376622e-07  9.39922637e-06 
 3.98107171e+07  1.61784075e-07  6.59640264e-06 
 4.46683592e+07  1.28150934e-07  4.63764362e-06 
 5.01187234e+07  1.01560505e-07  3.26503666e-06 
 5.62341325e+07  8.05178120e-08  2.30113440e-06 
 6.30957344e+07  6.38526258e-08  1.62311748e-06 
 7.07945784e+07  5.06462449e-08  1.14557556e-06 
 7.94328235e+07  4.01757336e-08  8.08892097e-07 
 8.91250938e+07  3.18711280e-08  5.71332435e-07 
 1.00000000e+08  2.52823856e-08  4.03612427e-07 
 1.12201845e+08  2.00537222e-08  2.85146455e-07 
 1.25892541e+08  1.59035982e-08  2.01442665e-07 
 1.41253754e+08  1.26090536e-08  1.42287404e-07 
 1.58489319e+08  9.99341176e-09  1.00475730e-07 
 1.77827941e+08  7.91660408e-09  7.09215001e-08 
 1.99526231e+08  6.26754305e-09  5.00322757e-08 
 2.23872114e+08  4.95810030e-09  3.52695498e-08 
 2.51188643e+08  3.91834648e-09  2.48389476e-08 
 2.81838293e+08  3.09278475e-09  1.74717727e-08 
 3.16227766e+08  2.43736827e-09  1.22708378e-08 
 3.54813389e+08  1.91713674e-09  8.60159487e-09 
 3.98107171e+08  1.50434274e-09  6.01521437e-09 
 4.46683592e+08  1.17696526e-09  4.19421626e-09 
 5.01187234e+08  9.17529829e-10  2.91402823e-09 
 5.62341325e+08  7.12171190e-10  2.01579866e-09 
 6.30957344e+08  5.49887765e-10  1.38716531e-09 
 7.07945784e+08  4.21947799e-10  9.48650123e-10 
 7.94328235e+08  3.21415449e-10  6.44033815e-10 
 8.91250938e+08  2.42772064e-10  4.33547145e-10 
 1.00000000e+09  1.81613563e-10  2.89056328e-10 
